"CWNS_ID","FACILITY_ID","STATE_CODE","DISCHARGE_TYPE","PRESENT_DISCHARGE_PERCENTAGE","PROJECTED_DISCHARGE_PERCENTAGE","DISCHARGES_TO_CWNSID"
"13000036001",1109013,GA,Outfall To Surface Waters,100,100,
"13000135001",1109139,GA,Outfall To Surface Waters,100,100,
"13000505001",1109303,GA,Outfall To Surface Waters,100,100,
"13000632001",1109444,GA,Outfall To Surface Waters,100,100,
"13000675001",1109497,GA,Outfall To Surface Waters,100,100,
"17000220001",1113495,IL,Discharge To Another Facility,100,100,"17000721005"
"17000231001",1113506,IL,Discharge To Another Facility,100,100,"17000278001"
"17000590001",1113868,IL,Discharge To Another Facility,100,100,"17000721009"
"17000690001",1113955,IL,Outfall To Surface Waters,100,100,
"17003301001",1114137,IL,Outfall To Surface Waters,100,100,
"17003305001",1114139,IL,Outfall To Surface Waters,100,100,
"17007202001",1114307,IL,Outfall To Surface Waters,100,100,
"17007207001",1114312,IL,Outfall To Surface Waters,100,100,
"17007701001",1114365,IL,Outfall To Surface Waters,100,100,
"17007903001",1114386,IL,Discharge To Another Facility,100,100,"17000136001"
"18000043001",1120088,IN,Outfall To Surface Waters,100,100,
"18000044001",1120089,IN,Outfall To Surface Waters,100,100,
"18003051001",1120284,IN,Outfall To Surface Waters,100,100,
"18004251001",1120344,IN,Outfall To Surface Waters,100,100,
"18004451001",1120362,IN,Outfall To Surface Waters,100,100,
"18005753001",1120509,IN,Outfall To Surface Waters,100,100,
"19000003001",1123452,IA,Outfall To Surface Waters,100,100,
"19000013001",1123462,IA,Outfall To Surface Waters,100,100,
"19000018001",1123468,IA,Outfall To Surface Waters,100,100,
"19000409003",1123804,IA,Outfall To Surface Waters,100,100,
"19000912001",1124249,IA,Outfall To Surface Waters,100,100,
"19001031001",1124310,IA,Outfall To Surface Waters,100,100,
"19001078001",1124352,IA,Discharge To Another Facility,100,100,"19000226001"
"16000092001",1128640,ID,Outfall To Surface Waters,100,100,
"16000225001",1128746,ID,Evaporation,100,100,
"20000535001",1130340,KS,Outfall To Surface Waters,100,100,
"20000602001",1130343,KS,Evaporation,100,100,
"20000670001",1130360,KS,Evaporation,100,100,
"20000735001",1130387,KS,Outfall To Surface Waters,100,100,
"20000991001",1130473,KS,Outfall To Surface Waters,100,100,
"20001003001",1130481,KS,Outfall To Surface Waters,100,100,
"29001100001",1133379,MO,Outfall To Surface Waters,100,100,
"48001128001",1182931,TX,Outfall To Surface Waters,100,100,
"48001205001",1182984,TX,Outfall To Surface Waters,100,100,
"48001225001",1183006,TX,Outfall To Surface Waters,100,100,
