"CWNS_ID","FACILITY_ID","STATE_CODE","COST_METHOD","FACILITY_DOCUMENT_CET_ID","FACILITY_DOCUMENT_COST_ID","CONSTRUCTION_TYPE","SIZING_METHOD","COUNTY_ID","COUNTY_NAME","NUM_HOME_SERVED","POP_SERVED","POP_PER_HOUSEHOLD"
"51000010097",3541835,VA,Decentralized,8588,39130,New,Number of Homes Served,2761,Brunswick,1207,,2.34
"51000010222",3542061,VA,Decentralized,8589,39131,Replace,Number of Homes Served,2761,Brunswick,237,,2.34
"51000010037",3540880,VA,Decentralized,9285,43761,New,Number of Homes Served,2762,Buchanan,469,,2.44
"51000010165",3541158,VA,Decentralized,9288,43780,Replace,Number of Homes Served,2762,Buchanan,196,,2.44
"51000010201",3541851,VA,Decentralized,9295,43800,Replace,Number of Homes Served,2763,Buckingham,309,,2.56
"51000010075",3541521,VA,Decentralized,9292,43789,New,Number of Homes Served,2763,Buckingham,1496,,2.56
"51000010148",3541140,VA,Decentralized,9301,43806,Replace,Number of Homes Served,2764,Campbell,982,,2.37
"51000010020",3540557,VA,Decentralized,9299,43804,New,Number of Homes Served,2764,Campbell,2558,,2.37
"51000010084",3541818,VA,Decentralized,9380,43952,New,Number of Homes Served,2765,Caroline,2675,,2.57
"51000010210",3541866,VA,Decentralized,9382,43957,Replace,Number of Homes Served,2765,Caroline,750,,2.57
"51000010185",3541501,VA,Decentralized,9387,43961,Replace,Number of Homes Served,2766,Carroll,237,,2.4
"51000010057",3541184,VA,Decentralized,9385,43959,New,Number of Homes Served,2766,Carroll,2045,,2.4
"51000010153",3541145,VA,Decentralized,9393,43966,Replace,Number of Homes Served,2767,Charles City,148,,2.42
"51000010025",3540837,VA,Decentralized,9390,43963,New,Number of Homes Served,2767,Charles City,473,,2.42
"51000010076",3541522,VA,Decentralized,9395,43971,New,Number of Homes Served,2768,Charlotte,626,,2.55
"51000010202",3541852,VA,Decentralized,9397,43975,Replace,Number of Homes Served,2768,Charlotte,180,,2.55
"51000010023",3540776,VA,Decentralized,9415,44018,New,Number of Homes Served,2769,Chesterfield,4804,,2.72
"51000010151",3541143,VA,Decentralized,9416,44025,Replace,Number of Homes Served,2769,Chesterfield,2927,,2.72
"51000010177",3541492,VA,Decentralized,9420,44031,Replace,Number of Homes Served,2770,Clarke,593,,2.54
"51000010049",3541176,VA,Decentralized,9419,44030,New,Number of Homes Served,2770,Clarke,890,,2.54
"51000010005",3539599,VA,Decentralized,9460,44119,New,Number of Homes Served,2771,Craig,325,,2.22
"51000010132",3540757,VA,Decentralized,9463,44120,Replace,Number of Homes Served,2771,Craig,76,,2.22
"51000010090",3541824,VA,Decentralized,9476,44137,New,Number of Homes Served,2772,Culpeper,3974,,2.91
"51000010215",3541876,VA,Decentralized,9479,44140,Replace,Number of Homes Served,2772,Culpeper,986,,2.91
"51000010203",3541856,VA,Decentralized,9485,44147,Replace,Number of Homes Served,2773,Cumberland,96,,2.46
"51000010077",3541523,VA,Decentralized,9482,44142,New,Number of Homes Served,2773,Cumberland,910,,2.46
